customer_id,first_order_date,last_order_date,retention_period,order_count,total_revenue,completed_hours,revenue_per_hour
F017-FASTE,5/22/2023,6/9/2023,18,2,1360,7.32,185.7923497
J006-JSPRM,6/4/2024,6/4/2024,0,1,1550,8.33,186.0744298
M049-MASTE,6/5/2024,11/12/2024,160,18,62108.58,324.54,191.3741912
F015-FORDM,2/9/2023,10/3/2024,602,17,59706,310.98,191.9930542
A045-AFS,1/9/2023,7/17/2024,555,78,852007.04,4384.99,194.3007943
L012-LOZIE,2/20/2023,2/1/2024,346,11,255311.68,1264.63,201.8864648
N008-NOVEL,6/15/2023,11/16/2023,154,2,2570.14,12.64,203.3338608
N016-NANOL,1/5/2023,10/18/2024,652,30,165485.93,779.28,212.357471
M026-MIURA,1/5/2023,11/13/2024,678,751,1240109.62,5638.04,219.9540301
D024-DES-C,5/20/2024,7/8/2024,49,3,2427.76,10.64,228.1729323
P009-PROTE,3/10/2023,10/10/2024,580,4,2530.25,10.99,230.2320291
H005-HAMES,5/8/2023,10/24/2024,535,12,10275.49,44.13,232.8459098
P023-PRTNL,2/8/2023,6/27/2024,505,6,3155,13.42,235.0968703
L010-LEGAC,2/14/2023,10/4/2024,598,8,9339.62,39.58,235.9681657
B032-,1/20/2023,10/23/2024,642,14,71420,299.01,238.8548878
J013-JLG,12/15/2023,8/12/2024,241,3,89.1,0.37,240.8108108
S046-SPOC,1/2/2023,11/12/2024,680,589,1224950.16,5019.95,244.0164065
W006-WELD,3/13/2023,9/10/2024,547,6,29548.5,120.81,244.5865408
D017-D&M,6/15/2023,2/19/2024,249,5,13372.96,52.82,253.1798561
C040-CTSNK,1/19/2023,9/26/2024,616,6,23727.7,92.8,255.6864224
S039-SMI,1/2/2023,11/4/2024,672,167,1735076.79,6750.88,257.0149062
H031-HYPER,2/7/2023,11/5/2024,637,33,103738.5,402.26,257.8891762
F022-F&D,1/2/2023,11/12/2024,680,848,4079562.35,15797.94,258.2338172
E014-ENGMF,6/13/2023,9/5/2024,450,3,6072.3,23.39,259.6109448
C060-CREA,1/10/2023,10/11/2024,640,28,112894.14,422.63,267.1228734
E004-ENVPR,7/21/2023,9/4/2024,411,3,10163.76,38.04,267.1861199
A001-AIRTE,10/23/2023,10/23/2023,0,1,1068,3.98,268.3417085
C005-CPELA,11/28/2023,11/7/2024,345,5,4374.17,16.13,271.1822691
K006-K&R,1/31/2023,11/12/2024,651,15,76931.5,277.04,277.6909472
V007-VNDRL,1/6/2023,11/7/2024,671,209,926472.67,3315.27,279.456174
B005-BNCHM,11/27/2023,7/31/2024,247,9,10510,37.27,281.9962436
S002-SREIL,1/4/2023,11/12/2024,678,391,1397917.75,4812.35,290.4854697
G016-GRNDW,4/5/2024,11/13/2024,222,23,304639,1043,292.0795781
H030-HARCO,1/27/2023,11/4/2024,647,38,38655.54,130.48,296.2564378
F019-FSM,9/9/2024,9/9/2024,0,1,4255,14.24,298.8061798
A038-ADVST,5/23/2023,9/26/2024,492,5,14883.02,47.39,314.0540198
C037-CHRKE,11/15/2023,11/15/2023,0,1,2709.9,8.58,315.8391608
