"sales_order_number","customer_id","order_date","shipping_method","terms","web_order","subtotal","total","order_weight","first_order_month","months_since_first_order"
30967,"S038-STLKI",2023-07-19,"MWS-T","NET60",FALSE,10536.12,10536.12,0,2023-01-01,6
30968,"K007-KENWO",2023-07-19,"MWS-T","NET30",FALSE,1214,1214,0,2023-01-01,6
30969,"S046-SPOC",2023-07-19,NA,"NET30",FALSE,345.6,345.6,0,2023-01-01,6
30970,"N016-NANOL",2023-07-19,NA,"NET30",FALSE,3368.36,3368.36,0,2023-01-01,6
30971,"M030-MORGO",2023-07-19,"MWS-T","NET45",FALSE,1012,1012,0,2023-01-01,6
30972,"M030-MORGO",2023-07-19,"MWS-T","NET45",FALSE,2024,2024,0,2023-01-01,6
30973,"M030-MORGO",2023-07-19,"MWS-T","NET45",FALSE,2024,2024,0,2023-01-01,6
30974,"M030-MORGO",2023-07-19,NA,"NET45",FALSE,13978,13978,0,2023-01-01,6
30975,"L005-LBGSY",2023-07-19,"MWS-T","NET30",FALSE,280,280,0,2023-01-01,6
30976,"K007-KENWO",2023-07-19,"MWS-T","NET30",FALSE,5905,5905,0,2023-01-01,6
30978,"F022-F&D",2023-07-21,"CPICK",NA,FALSE,404.95,404.95,0,2023-01-01,6
30981,"M026-MIURA",2023-07-21,"MWS-T","NET30",FALSE,9039.75,9039.75,0,2023-01-01,6
31014,"M030-MORGO",2023-07-24,NA,"NET45",FALSE,3335.2,3335.2,0,2023-01-01,6
31015,"M030-MORGO",2023-07-24,NA,"NET45",FALSE,3638.4,3638.4,0,2023-01-01,6
31016,"M030-MORGO",2023-07-24,NA,"NET45",FALSE,12569,12569,0,2023-01-01,6
31023,"M030-MORGO",2023-07-25,NA,"NET45",FALSE,8315,8315,0,2023-01-01,6
31024,"M030-MORGO",2023-07-25,"MWS-T","NET45",FALSE,11677.6,11677.6,0,2023-01-01,6
31026,"S002-SREIL",2023-07-25,NA,"NET30",FALSE,4695,4695,0,2023-01-01,6
31029,"S002-SREIL",2023-07-25,NA,"NET30",FALSE,1237.68,1237.68,0,2023-01-01,6
30979,"F022-F&D",2023-07-21,"CPICK",NA,FALSE,209.65,209.65,0,2023-01-01,6
31021,"M030-MORGO",2023-07-25,NA,"NET45",FALSE,22612,22612,0,2023-01-01,6
31022,"M030-MORGO",2023-07-25,NA,"NET45",FALSE,28429.1,28429.1,0,2023-01-01,6
31025,"S002-SREIL",2023-07-25,NA,"NET30",FALSE,4695,4695,0,2023-01-01,6
31027,"S002-SREIL",2023-07-25,NA,"NET30",FALSE,3052,3052,0,2023-01-01,6
31028,"S002-SREIL",2023-07-25,NA,"NET30",FALSE,1487.52,1487.52,0,2023-01-01,6
