sales_order_number,uom,part_group,short_description,long_description,order_quantity,quantity_shipped,base_price,extended_price
31898,EA,LVSLS,205101407 SPCR S/FRM STL11GAX6X8.5 GALV,205101407 SPCR S/FRM STL11GAX6X8.5 GALV,240,240,5.13,1231.2
31898,EA,LVSLS,217032400 BRKT H/SHLD,217032400 BRKT H/SHLD,140,140,22.57,3159.8
31907,EA,LVSLS,188007202 ANG WLDMT OB RH,NA,140,140,42.5,5950
31907,EA,LVSLS,218078401 ANG ATCH RH,218078401 ANG ATCH RH,280,280,10.94,3063.2
31908,EA,LVSLS,FDDSTRP4448,FDDSTRP4448,30,30,11.37,341.1
31910,EA,LVSLS,229147519 BRKT RUD LK STL.25X6.45X12.18L YL DICHR,229147519 BRKT RUD LK STL.25X6.45X12.18L YL DICHR,100,99,10.11,1011
31910,EA,LVSLS,229147520 BRKT RUD LK STL.25X6.45X12.18R YL DICHR,229147520 BRKT RUD LK STL.25X6.45X12.18R YL DICHR,100,100,10.11,1011
31910,EA,LVSLS,197147405 LINK LAT BHD (COATED PART),NA,200,200,0.99,198
31909,EA,LVSLS,FDD1504896SGN3T-BLK 3 TIER SIGN,FDD1504896SGN3T-BLK 3 TIER SIGN,4,4,43.93,175.72
31902,EA,LVSLS,208078401 C/P RR D/FLR,208078401 C/P RR D/FLR ,160,160,114.75,18360
31903,EA,LVSLS,167007409  ANG INR LH 6 HOLE,167007409  ANG INR LH 6 HOLE,80,80,10.17,813.6
31904,EA,LVSLS,001710410 ROOF BOW,001710410 ROOF BOW,140,140,26.39,3694.6
31904,EA,LVSLS,218078400 ANG ATCH LH,218078400 ANG ATCH LH,320,320,10.94,3500.8
31904,EA,LVSLS,237070401 BHD STIFFENEER - PRODUCTION SUPPLIES,237070401 BHD STIFFENEER - PRODUCTION SUPPLIES ,140,140,20.91,2927.4
31905,EA,LVSLS,207101400 HTCH FRM,207101400 HTCH FRM,150,0,48.2,7230
31906,EA,LVSLS,"207007406 BRKT D/FLR STL7GAX17.51X20.49R OB, GALV","207007406 BRKT D/FLR STL7GAX17.51X20.49R OB, GALV",75,0,46.7,3502.5
31906,EA,LVSLS,"207007407 BRKT D/FLR STL7GAX17.51X20.49L OB, GALV","207007407 BRKT D/FLR STL7GAX17.51X20.49L OB, GALV",75,0,46.7,3502.5
31907,EA,LVSLS,188007201 ANG WLDMT OB LH,NA,140,140,42.5,5950
31925,EA,LVSLS,3394 DOOR LEFT,3394 DOOR LEFT,5,5,207.64,1038.2
31926,EA,LVSLS,CLIP-PLC2,"CLIP-PLC2 10 GA. 5 1/4"" X 5 1/2""",1000,1000,2.06,2060
31934,EA,LVSLS,F.4X2-058.5-145778,NA,2520,2520,23.45,59094
31934,EA,LVSLS,S10-05.38X006.38-144726,NA,2520,2520,2.17,5468.4
31935,EA,LVSLS,F.4X2-058.5-145778,NA,2520,2520,23.45,59094
31935,EA,LVSLS,S10-05.38X006.38-144726,NA,2520,2520,2.17,5468.4
31936,EA,LVSLS,810960001 CHAIN POCKET PLATE - SHIP KIT B,810960001 CHAIN POCKET PLATE - SHIP KIT B,60,60,4.94,296.4
31936,EA,LVSLS,5462B3 L-ARM HOLE COVER - 408V/T,5462B3 L-ARM HOLE COVER - 408V/T,40,40,14.11,564.4
31936,EA,LVSLS,"0718222 GUARD, HORIZONTAL HOSE COVER","0718222 GUARD, HORIZONTAL HOSE COVER",25,25,30.92,773
31936,EA,LVSLS,810030005 PLATE-BODY REAR MTG (T MTG),810030005 PLATE-BODY REAR MTG (T MTG),120,120,2.12,254.4
28335,EA,LVSLS,"RDLPBR020004 HDR, SIDE, CS","RDLPBR020004 HDR, SIDE, CS",50,50,25.76,1288
28341,EA,LVSLS,087032404 WHEEL BX END PANEL LH,"087032404 WHEEL BX END PANEL LH
***CUSTOMER SUPPLIED MATERIAL .102'' X 59'' X 96'' W/ PVC***",80,80,2.54,203.2
28342,EA,LVSLS,087032405 WHEEL BX END PANEL RH,"087032405 WHEEL BX END PANEL RH
***CUSTOMER SUPPLIED MATERIAL .102'' X 59'' X 96'' W/ PVC***",80,80,2.47,197.6
28343,EA,LVSLS,117070401 PNL BHD LH (CUSTOMER SUPPLIED MATERIAL .,117070401 PNL BHD LH (CUSTOMER SUPPLIED MATERIAL .102'' X 59'' X 96'' W/ PVC),80,80,9.84,787.2
28344,EA,LVSLS,177070406  PNL BHD RH  (CUSTOMER SUPPLIED MATERIAL,177070406  PNL BHD RH  (CUSTOMER SUPPLIED MATERIAL .102'' X 59'' X 96'' W/ PVC),80,80,10.82,865.6
28345,EA,LVSLS,157050407 *CUST SUPPLIED MAT. .100 59X96 ALUM*,NA,80,80,5.57,445.6
28346,EA,LVSLS,98760320 *CUST SUPPLIED MAT. .100 59X96 ALUM*,NA,80,80,9.52,761.6
28347,EA,LVSLS,96760312 *CUST SUPPLIED MAT. .100 59X96 ALUM*,NA,160,160,4.09,654.4
28335,EA,LVSLS,"RDLPAR010010 BOX, JOGGLED","RDLPAR010010 BOX, JOGGLED",50,50,73.53,3676.5
28335,EA,LVSLS,"RDLPBR030004 HDR, SIDE, CS","RDLPBR030004 HDR, SIDE, CS",50,50,25.76,1288
28336,EA,LVSLS,3394 DOOR LEFT,3394 DOOR LEFT,95,95,207.64,19725.8
28336,EA,LVSLS,3394 DOOR RIGHT,3394 DOOR RIGHT,95,95,207.64,19725.8
28336,EA,LVSLS,3515 DOOR DIVIDER,3515 DOOR DIVIDER,20,20,75,1500
28339,EA,LVSLS,3077375 COVER-TOP FRONT MDM SIDE CTL PNL, 3077375 COVER-TOP FRONT MDM SIDE CTL PNL,100,100,37.28,3728
28339,EA,LVSLS,0708537 PANEL-CTL MTG 3 WIDE VERT,0708537 PANEL-CTL MTG 3 WIDE VERT,75,75,36.63,2747.25
28339,EA,LVSLS,0365849 PAN DRAIN 3W HRPO 10GA,0365849 PAN DRAIN 3W HRPO 10GA,50,50,64.57,3228.5
28339,EA,LVSLS,2H05733001 SUPPORT CENTER HD 8 COMPR,2H05733001 SUPPORT CENTER HD 8 COMPR,50,50,23.88,1194
28349,EA,LVSLS,177005412 *CUST SUPPLIED MAT. .100 59X96 ALUM*,NA,80,80,2.04,163.2
28351,EA,LVSLS,147052400 *CUST SUPPLIED MAT. .100 59X96 ALUM*,NA,80,80,3.08,246.4
28352,EA,LVSLS,087032404 WHEEL BX END PANEL LH,"087032404 WHEEL BX END PANEL LH
***CUSTOMER SUPPLIED MATERIAL .102'' X 59'' X 96'' W/ PVC***",80,80,2.54,203.2
28354,EA,LVSLS,117005403 WASHER BOTTLE BRACKET FCC UPS SCS HEATER,"117005403 WASHER BOTTLE BRACKET FCC UPS SCS HEATER
***CUSTOMER SUPPLIED MATERIAL .102'' X 59'' X 96'' W/ PVC***",80,80,2.17,173.6
28356,EA,LVSLS,117094400 BRKT MDL,"117094400 BRKT MDL
***CUSTOMER SUPPLIED MATERIAL .102'' X 59'' X 96'' W/ PVC***",80,80,2.27,181.6
28357,EA,LVSLS,127070401 HDR BHD Z AL .102 X 12.48 X 87.41,"127070401 HDR BHD Z AL .102 X 12.48 X 87.41
***(CUST SUPPLIED .102 X 59 X 96 W/ PVC)***
",80,80,11.69,935.2
28358,EA,LVSLS,177070401 PLT SL BHD HDR,"177070401 PLT SL BHD HDR
***CUSTOMER SUPPLIED MATERIAL .102'' X 59'' X 96'' W/ PVC***",160,160,1.57,251.2
28359,EA,LVSLS,187050412 GRD LMP SI,"187050412 GRD LMP SI
***CUSTOMER SUPPLIED MATERIAL .102'' X 59'' X 96'' W/ PVC***",160,160,3.88,620.8
28350,EA,LVSLS,177005411 *CUST SUPPLIED MAT. .100 59X96 ALUM*,NA,80,80,2.04,163.2
28361,EA,LVSLS,98760323 PNL DR RH,"98760323 PNL DR RH
***(CUST SUPPLIED .102 X 59 X 96 W/ PVC)***",80,80,14.39,1151.2
28363,EA,LVSLS,YT442113 TANK SHELL TOP 26.35 57.83 .250,YT442113 TANK SHELL TOP 26.35 57.83 .250,50,50,108.88,5444
28364,EA,LVSLS,"99809 GUIDE, CENTER WALL, ALUM","99809 GUIDE, CENTER WALL, ALUM",300,300,10.67,3201
27839,EA,LVSLS,FD4896SG2T,FD4896SG2T,6,6,30.39,182.34
28373,EA,LVSLS,005774400 ANG AL MTG .125 X 6.81 X 107.12,"005774400 ANG AL MTG .125 X 6.81 X 107.12
***CUSTOMER SUPPLIED MATERIAL .125 X 56 X 110 W/ PVC***",182,182,7.05,1283.1
28377,EA,LVSLS,207101400 HTCH FRM,207101400 HTCH FRM,120,120,43.85,5262
28377,EA,LVSLS,"207007407 BRKT D/FLR STL7GAX17.51X20.49L OB, GALV","207007407 BRKT D/FLR STL7GAX17.51X20.49L OB, GALV",120,120,42.86,5143.2
28379,EA,LVSLS,98760320 *CUST SUPPLIED MAT. .100 59X96 ALUM*,NA,70,70,9.52,666.4
28380,EA,LVSLS,96760312 *CUST SUPPLIED MAT. .100 59X96 ALUM*,NA,140,140,4.09,572.6
28362,EA,LVSLS,X340583 BRACKET MTG,X340583 BRACKET MTG,2,2,168.78,337.56
28378,EA,LVSLS,157050407 *CUST SUPPLIED MAT. .100 59X96 ALUM*,NA,70,70,5.57,389.9
